INPUT: 21.06920 -86.96250   1   1 EvergreenBroadleafForest sza 40.000 vza 0.000 raa 0.000

Day_nb 620-670 841-876  459-479  545-565  1230-1250 1628-1652 2105-2155 
  001 0.045200 0.354600 0.024100 0.054800 0.354700 0.194400 0.093400
  009 0.045200 0.354600 0.024100 0.054800 0.354700 0.194400 0.093400
  017 0.045200 0.354600 0.024100 0.054800 0.354700 0.194400 0.093400
  025 0.045200 0.354600 0.024100 0.054800 0.354700 0.194400 0.093400
  033 0.040300 0.333500 0.020700 0.050200 0.366000 0.190500 0.086900
  041 0.035400 0.312400 0.017300 0.045700 0.377300 0.186600 0.080500
  049 0.034300 0.315400 0.015900 0.044500 0.366200 0.187200 0.078200
  057 0.041300 0.303500 0.019800 0.046400 0.339000 0.181900 0.083600
  065 0.048400 0.291600 0.023800 0.048400 0.311900 0.176600 0.089100
  073 0.038500 0.276500 0.017700 0.042600 0.291700 0.177900 0.073400
  081 0.038600 0.258000 0.018300 0.042100 0.274400 0.170900 0.072100
  089 0.032400 0.269400 0.014600 0.040400 0.326400 0.178800 0.076100
  097 0.037500 0.274100 0.015000 0.042100 0.340400 0.192000 0.090300
  105 0.038000 0.267100 0.014700 0.041500 0.346700 0.186300 0.090800
  113 0.047100 0.244400 0.019600 0.043700 0.342600 0.202400 0.106400
  121 0.056200 0.221700 0.024600 0.046000 0.338600 0.218500 0.122000
  129 0.065300 0.199000 0.029600 0.048300 0.334600 0.234600 0.137700
  137 0.064300 0.191600 0.028400 0.048600 0.317500 0.240500 0.143900
  145 0.064100 0.191300 0.029100 0.048900 0.304900 0.241100 0.145500
  153 0.067600 0.189800 0.031800 0.053600 0.277900 0.244500 0.152400
  161 0.068700 0.192500 0.031600 0.055500 0.285800 0.248800 0.154100
  169 0.071600 0.198400 0.034200 0.058800 0.282800 0.248500 0.154500
  177 0.071900 0.203500 0.033800 0.058800 0.291500 0.252200 0.155700
  185 0.072300 0.208600 0.033400 0.058800 0.300300 0.255900 0.156900
  193 0.072700 0.213800 0.033000 0.058800 0.309100 0.259600 0.158100
  201 0.073100 0.219000 0.032600 0.058900 0.317900 0.263300 0.159400
  209 0.073500 0.224200 0.032200 0.059000 0.326700 0.267000 0.160700
  217 0.068000 0.205600 0.029300 0.056000 0.307500 0.253800 0.150400
  225 0.068600 0.202300 0.030800 0.057200 0.308000 0.258400 0.152400
  233 0.069800 0.191100 0.032500 0.059400 0.279500 0.247300 0.151700
  241 0.068400 0.180500 0.031800 0.057700 0.265500 0.241700 0.149600
  249 0.067200 0.180600 0.031300 0.057000 0.264900 0.240700 0.148600
  257 0.066000 0.180700 0.030800 0.056300 0.264300 0.239800 0.147600
  265 0.064800 0.180800 0.030300 0.055600 0.263700 0.238900 0.146600
  273 0.063600 0.180900 0.029800 0.054900 0.263100 0.238000 0.145600
  281 0.062400 0.181000 0.029300 0.054200 0.262500 0.237100 0.144600
  289 0.061200 0.181100 0.028800 0.053500 0.261900 0.236200 0.143600
  297 0.060100 0.181200 0.028300 0.052800 0.261300 0.235300 0.142600
  305 0.059000 0.181300 0.027800 0.052100 0.260700 0.234400 0.141600
  313 0.057900 0.181400 0.027300 0.051400 0.260100 0.233500 0.140600
  321 0.056800 0.181500 0.026900 0.050700 0.259500 0.232600 0.139600
  329 0.055700 0.181600 0.026500 0.050000 0.258900 0.231700 0.138600
  337 0.054600 0.181700 0.026100 0.049300 0.258300 0.230800 0.137600
  345 0.053500 0.181800 0.025700 0.048600 0.257700 0.229900 0.136600
  353 0.052400 0.181900 0.025300 0.047900 0.257200 0.229000 0.135600
  361 0.045400 0.161300 0.021600 0.041500 0.228700 0.201700 0.116900
