INPUT: 21.24420 -86.95830   1   1 EvergreenBroadleafForest sza 40.000 vza 0.000 raa 0.000

Day_nb 620-670 841-876  459-479  545-565  1230-1250 1628-1652 2105-2155 
  001 0.029100 0.319500 0.017000 0.048400 0.305300 0.178900 0.064700
  009 0.031100 0.322900 0.018700 0.049700 0.308300 0.181400 0.069300
  017 0.031100 0.357300 0.016300 0.051300 0.334900 0.179900 0.064600
  025 0.038100 0.364800 0.019700 0.056600 0.330800 0.179000 0.069400
  033 0.038900 0.384800 0.019100 0.057900 0.354100 0.178900 0.073000
  041 0.036800 0.377700 0.018200 0.056100 0.347700 0.177600 0.070300
  049 0.036400 0.380700 0.016900 0.056100 0.381500 0.178500 0.069700
  057 0.031600 0.364000 0.013300 0.050400 0.379600 0.179400 0.069100
  065 0.030900 0.370000 0.011700 0.051000 0.387300 0.186000 0.081400
  073 0.033100 0.357600 0.013000 0.051600 0.385400 0.190900 0.086200
  081 0.034400 0.340700 0.014800 0.051500 0.346700 0.196200 0.087900
  089 0.031600 0.325300 0.013700 0.048700 0.337700 0.194300 0.084900
  097 0.034300 0.321100 0.015900 0.051400 0.339900 0.193200 0.076600
  105 0.039500 0.302900 0.017800 0.052400 0.325700 0.194900 0.089100
  113 0.047900 0.270900 0.021100 0.055100 0.306100 0.201100 0.110700
  121 0.049400 0.270700 0.021600 0.056200 0.306800 0.204300 0.113100
  129 0.050900 0.270500 0.022200 0.057400 0.307600 0.207500 0.115500
  137 0.052400 0.270400 0.022800 0.058600 0.308400 0.210800 0.118000
  145 0.054000 0.270300 0.023400 0.059800 0.309200 0.214100 0.120500
  153 0.055600 0.270200 0.024000 0.061000 0.310000 0.217400 0.123000
  161 0.057200 0.270100 0.024600 0.062200 0.310800 0.220700 0.125500
  169 0.058800 0.270000 0.025200 0.063400 0.311600 0.224000 0.128000
  177 0.060400 0.269900 0.025800 0.064600 0.312400 0.227300 0.130500
  185 0.062000 0.269800 0.026400 0.065800 0.313200 0.230600 0.133000
  193 0.063600 0.269700 0.027000 0.067000 0.314000 0.233900 0.135500
  201 0.065200 0.269600 0.027600 0.068200 0.314800 0.237200 0.138000
  209 0.062400 0.259000 0.025400 0.064200 0.341500 0.233400 0.134500
  217 0.062000 0.264900 0.027500 0.066300 0.339500 0.221400 0.125300
  225 0.053200 0.238500 0.021300 0.057600 0.319900 0.196700 0.108900
  233 0.046600 0.239100 0.018400 0.051900 0.320600 0.184000 0.095200
  241 0.044300 0.247500 0.017700 0.051400 0.327900 0.191300 0.098700
  249 0.039900 0.259000 0.014500 0.050400 0.340200 0.196800 0.097600
  257 0.042400 0.284400 0.015600 0.054200 0.362700 0.210300 0.106000
  265 0.038800 0.306100 0.014800 0.054300 0.379900 0.216500 0.103200
  273 0.039700 0.335300 0.015100 0.057600 0.350500 0.217400 0.097900
  281 0.042600 0.342300 0.019000 0.061600 0.354300 0.219500 0.101300
  289 0.038400 0.337700 0.016700 0.058700 0.343600 0.206200 0.088600
  297 0.037300 0.337800 0.017100 0.057900 0.337000 0.197300 0.084200
  305 0.035400 0.324400 0.015500 0.054900 0.340100 0.198300 0.084300
  313 0.033200 0.330000 0.014300 0.052000 0.342900 0.193900 0.077800
  321 0.035600 0.338500 0.017200 0.054600 0.337200 0.201800 0.078600
  329 0.035000 0.352600 0.017100 0.055500 0.343500 0.211600 0.082600
  337 0.034500 0.366800 0.017100 0.056500 0.349800 0.221500 0.086600
  345 0.034200 0.351000 0.017900 0.055300 0.333300 0.214700 0.083300
  353 0.033000 0.349800 0.016800 0.053700 0.343400 0.214100 0.085500
  361 0.036500 0.354300 0.022400 0.058600 0.349500 0.208200 0.074700
