INPUT: 21.01500 -87.15000   1   1 EvergreenBroadleafForest sza 40.000 vza 0.000 raa 0.000

Day_nb 620-670 841-876  459-479  545-565  1230-1250 1628-1652 2105-2155 
  001 0.026600 0.335300 0.009300 0.040100 0.281200 0.188900 0.055700
  009 0.028700 0.340100 0.010600 0.042400 0.306500 0.193100 0.062800
  017 0.030800 0.345000 0.011900 0.044800 0.331900 0.197300 0.069900
  025 0.032900 0.349900 0.013300 0.047200 0.357300 0.201600 0.077100
  033 0.030700 0.336700 0.012200 0.044800 0.348900 0.196300 0.077500
  041 0.032000 0.323900 0.012500 0.043800 0.334700 0.195700 0.079700
  049 0.032100 0.320900 0.011300 0.043500 0.340200 0.190900 0.079500
  057 0.033600 0.306200 0.013800 0.044800 0.328400 0.183000 0.080000
  065 0.030100 0.287600 0.011500 0.041500 0.324700 0.179900 0.078800
  073 0.032700 0.279800 0.013300 0.042600 0.327900 0.187300 0.083100
  081 0.033900 0.275800 0.015600 0.043300 0.318200 0.192400 0.084900
  089 0.032400 0.279500 0.014700 0.045400 0.333100 0.195200 0.086700
  097 0.047500 0.279300 0.023600 0.056300 0.329500 0.206300 0.102800
  105 0.056500 0.271800 0.026800 0.060600 0.326800 0.212100 0.121800
  113 0.056600 0.269500 0.026800 0.060600 0.324100 0.213200 0.122000
  121 0.056700 0.267200 0.026800 0.060600 0.321400 0.214300 0.122200
  129 0.056800 0.264900 0.026800 0.060600 0.318700 0.215400 0.122400
  137 0.056900 0.262600 0.026800 0.060600 0.316000 0.216500 0.122600
  145 0.057000 0.260300 0.026800 0.060600 0.313300 0.217700 0.122800
  153 0.057100 0.258000 0.026800 0.060600 0.310600 0.218900 0.123000
  161 0.057200 0.255700 0.026800 0.060600 0.307900 0.220100 0.123200
  169 0.057300 0.253500 0.026800 0.060600 0.305200 0.221300 0.123400
  177 0.057400 0.251300 0.026800 0.060600 0.302500 0.222500 0.123600
  185 0.057500 0.249100 0.026800 0.060600 0.299800 0.223700 0.123800
  193 0.057600 0.246900 0.026800 0.060700 0.297100 0.224900 0.124100
  201 0.057700 0.244700 0.026900 0.060800 0.294400 0.226100 0.124400
  209 0.057900 0.242500 0.027000 0.060900 0.291700 0.227300 0.124700
  217 0.058100 0.240300 0.027100 0.061000 0.289000 0.228500 0.125000
  225 0.055100 0.248300 0.024200 0.057800 0.299100 0.226500 0.130500
  233 0.055300 0.259400 0.023200 0.058700 0.307400 0.229000 0.132900
  241 0.056900 0.266600 0.025800 0.062000 0.304300 0.216300 0.123500
  249 0.057300 0.278200 0.026400 0.062900 0.311900 0.212600 0.122500
  257 0.054400 0.284100 0.025700 0.062400 0.307700 0.207400 0.114700
  265 0.053500 0.269700 0.027400 0.063000 0.300700 0.198800 0.107000
  273 0.051400 0.277800 0.026400 0.062200 0.306400 0.199300 0.103200
  281 0.049300 0.285900 0.025500 0.061500 0.312200 0.199800 0.099400
  289 0.047300 0.294000 0.024600 0.060800 0.318000 0.200400 0.095700
  297 0.045300 0.302200 0.023700 0.060100 0.323800 0.201000 0.092000
  305 0.041500 0.294800 0.021000 0.057100 0.317900 0.200600 0.091400
  313 0.036100 0.281600 0.016000 0.050900 0.309300 0.195900 0.087700
  321 0.036700 0.284200 0.017000 0.051200 0.309200 0.198100 0.088800
  329 0.038100 0.271300 0.017100 0.051200 0.302500 0.195100 0.090900
  337 0.039600 0.258400 0.017200 0.051300 0.295800 0.192100 0.093100
  345 0.041100 0.245600 0.017400 0.051400 0.289200 0.189200 0.095300
  353 0.041600 0.242100 0.018400 0.050500 0.300800 0.208700 0.110100
  361 0.037200 0.248200 0.015900 0.046300 0.320300 0.220900 0.113300
