INPUT: 20.93580 -87.07920   1   1 EvergreenBroadleafForest sza 40.000 vza 0.000 raa 0.000

Day_nb 620-670 841-876  459-479  545-565  1230-1250 1628-1652 2105-2155 
  001 0.031200 0.321800 0.012000 0.041500 0.337000 0.182400 0.075000
  009 0.031200 0.321800 0.012000 0.041500 0.337000 0.182400 0.075000
  017 0.035900 0.323400 0.016900 0.045200 0.336300 0.188500 0.077800
  025 0.035900 0.322500 0.016900 0.045500 0.330200 0.186000 0.076100
  033 0.034800 0.308800 0.016600 0.043900 0.320200 0.182100 0.074300
  041 0.037200 0.293400 0.019700 0.046600 0.312600 0.181000 0.076200
  049 0.034500 0.286600 0.016500 0.043400 0.307900 0.179000 0.074400
  057 0.034000 0.291400 0.014900 0.042800 0.317300 0.191700 0.076400
  065 0.034300 0.301300 0.013700 0.042500 0.327400 0.196500 0.078900
  073 0.033600 0.306500 0.012100 0.041100 0.328600 0.200600 0.080000
  081 0.035900 0.302800 0.014400 0.043100 0.327400 0.200600 0.084600
  089 0.036200 0.291400 0.015100 0.042900 0.321200 0.191000 0.085200
  097 0.038300 0.281700 0.017200 0.044700 0.317500 0.191700 0.087100
  105 0.041500 0.285200 0.018900 0.046700 0.325100 0.200400 0.094000
  113 0.041800 0.284300 0.018700 0.046700 0.327600 0.202800 0.094400
  121 0.042900 0.291000 0.018900 0.047900 0.329900 0.207700 0.096800
  129 0.040300 0.297800 0.018100 0.048000 0.326800 0.200800 0.091000
  137 0.037800 0.304700 0.017400 0.048100 0.323700 0.194000 0.085200
  145 0.035300 0.311600 0.016700 0.048200 0.320700 0.187200 0.079400
  153 0.030500 0.318300 0.013400 0.046100 0.311800 0.172500 0.063400
  161 0.038000 0.345800 0.019100 0.054100 0.371200 0.177700 0.079400
  169 0.038600 0.351900 0.019500 0.054600 0.375900 0.177100 0.082900
  177 0.038100 0.342000 0.021700 0.057000 0.363100 0.181900 0.079900
  185 0.037600 0.332100 0.023900 0.059400 0.350300 0.186700 0.076900
  193 0.037200 0.322200 0.026200 0.061800 0.337600 0.191500 0.074000
  201 0.034900 0.318800 0.026000 0.060500 0.331700 0.183200 0.070200
  209 0.032700 0.315400 0.025800 0.059200 0.325800 0.174900 0.066400
  217 0.030500 0.312100 0.025700 0.057900 0.320000 0.166600 0.062600
  225 0.025600 0.317400 0.015900 0.045200 0.316200 0.159500 0.061000
  233 0.027400 0.338800 0.011500 0.041900 0.324500 0.166300 0.073500
  241 0.025700 0.342000 0.010400 0.040800 0.327200 0.165600 0.066000
  249 0.027900 0.351300 0.015100 0.044000 0.335400 0.176400 0.070200
  257 0.029700 0.354700 0.013900 0.044700 0.331000 0.159500 0.072300
  265 0.023600 0.314200 0.010200 0.038700 0.317400 0.150900 0.051500
  273 0.022800 0.278900 0.009500 0.035600 0.280200 0.128800 0.042900
  281 0.021500 0.296600 0.008200 0.035300 0.290200 0.132000 0.042400
  289 0.018000 0.306700 0.006100 0.032100 0.299200 0.135400 0.043200
  297 0.018200 0.318300 0.006400 0.031900 0.280400 0.124000 0.040200
  305 0.020800 0.338700 0.008100 0.035300 0.336800 0.135500 0.046300
  313 0.021300 0.336900 0.008800 0.035500 0.339500 0.134500 0.047200
  321 0.022100 0.326500 0.010200 0.035600 0.338800 0.126500 0.046200
  329 0.031400 0.333900 0.019900 0.044800 0.352200 0.144900 0.066300
  337 0.021500 0.305800 0.012200 0.032800 0.294000 0.132000 0.049500
  345 0.017600 0.281900 0.009400 0.028700 0.274800 0.123800 0.043300
  353 0.015600 0.278400 0.007800 0.027100 0.272600 0.133200 0.041200
  361 0.014400 0.269000 0.007200 0.025600 0.277500 0.132800 0.041200
